year,LineCode,airport,gdp
2011-01-01,64.0,LAX,9475579.0
2011-01-01,65.0,LAX,24612248.0
2011-01-01,68.0,LAX,57469536.0
2011-01-01,69.0,LAX,10516804.0
2011-01-01,70.0,LAX,46952732.0
2011-01-01,75.0,LAX,38166770.0
2011-01-01,76.0,LAX,19086517.0
2011-01-01,79.0,LAX,19080252.0
2011-01-01,82.0,LAX,15994526.0
2011-01-01,83.0,LAX,72666271.0
2011-01-01,,LAX,
2011-01-01,87.0,LAX,3421701.0
2011-01-01,88.0,LAX,96688848.0
2011-01-01,89.0,LAX,24174748.0
2011-01-01,90.0,LAX,153544280.0
2011-01-01,91.0,LAX,93541112.0
2011-01-01,92.0,LAX,590263589.0
2011-01-01,1.0,MIA,252715328.0
2011-01-01,2.0,MIA,223875163.0
2011-01-01,3.0,MIA,1028073.0
2011-01-01,6.0,MIA,276729.0
2011-01-01,10.0,MIA,3601355.0
2011-01-01,11.0,MIA,12077385.0
2011-01-01,12.0,MIA,8644379.0
2011-01-01,13.0,MIA,5194333.0
2011-01-01,25.0,MIA,3450046.0
2011-01-01,34.0,MIA,23321752.0
2011-01-01,35.0,MIA,17940623.0
2011-01-01,36.0,MIA,10674302.0
2011-01-01,45.0,MIA,14815913.0
2011-01-01,50.0,MIA,52836886.0
2011-01-01,51.0,MIA,13305589.0
2011-01-01,56.0,MIA,39531297.0
2011-01-01,59.0,MIA,32786716.0
2011-01-01,60.0,MIA,19935222.0
2011-01-01,64.0,MIA,3301663.0
2011-01-01,65.0,MIA,9549830.0
2011-01-01,68.0,MIA,23945007.0
2011-01-01,69.0,MIA,4339243.0
2011-01-01,70.0,MIA,19605764.0
2011-01-01,75.0,MIA,14465918.0
2011-01-01,76.0,MIA,3244093.0
2011-01-01,79.0,MIA,11221825.0
2011-01-01,82.0,MIA,7460125.0
2011-01-01,83.0,MIA,28840165.0
2011-01-01,,MIA,
2011-01-01,87.0,MIA,1304802.0
2011-01-01,88.0,MIA,41262374.0
2011-01-01,89.0,MIA,14275657.0
2011-01-01,90.0,MIA,23460292.0
2011-01-01,91.0,MIA,22026566.0
2011-01-01,92.0,MIA,201848597.0
2011-01-01,1.0,MSP,197392868.0
2011-01-01,2.0,MSP,177903236.0
2011-01-01,3.0,MSP,585372.0
2011-01-01,6.0,MSP,549951.0
2011-01-01,10.0,MSP,2500542.0
2011-01-01,11.0,MSP,5701557.0
2011-01-01,12.0,MSP,28649166.0
2011-01-01,13.0,MSP,17798329.0
2011-01-01,25.0,MSP,10850838.0
2011-01-01,34.0,MSP,
2011-01-01,35.0,MSP,10041072.0
2011-01-01,36.0,MSP,
2011-01-01,45.0,MSP,9008532.0
2011-01-01,50.0,MSP,40405690.0
2011-01-01,51.0,MSP,18399986.0
2011-01-01,56.0,MSP,22005704.0
2011-01-01,59.0,MSP,30644398.0
2011-01-01,60.0,MSP,
2011-01-01,64.0,MSP,
2011-01-01,65.0,MSP,
2011-01-01,68.0,MSP,17455481.0
2011-01-01,69.0,MSP,
2011-01-01,70.0,MSP,
2011-01-01,75.0,MSP,6458234.0
