AIRPORT_SEQ_ID,AIRPORT,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_COUNTRY_NAME,AIRPORT_STATE_NAME,
1518501,TGE,"Tuskegee, AL",United States,Alabama,
1518502,TGE,"Tuskegee, AL",United States,Alabama,
1518601,TGG,"Kuala Trengganu, Malaysia",Malaysia,,
1518701,TGH,"Tongoa, New Hebrides",New Hebrides,,
1518702,TGH,"Tongoa, Vanuatu",Vanuatu,,
1518703,TGH,"Tongoa, Vanuatu",Vanuatu,,
1518801,TGI,"Tingo Maria, Peru",Peru,,
1518802,TGI,"Tingo Maria, Peru",Peru,,
1518803,TGI,"Tingo Maria, Peru",Peru,,
1518901,TGM,"Targu Mures, Romania",Romania,,
1518902,TGM,"Targu Mures, Romania",Romania,,
1518903,TGM,"Targu Mures, Romania",Romania,,
1518904,TGM,"Targu Mures, Romania",Romania,,
1519001,TGR,"Touggourt, Algeria",Algeria,,
1519101,TGT,"Tanga, Tanzania",Tanzania,,
1519102,TGT,"Tanga, Tanzania",Tanzania,,
1519201,TGU,"Tegucigalpa, Honduras",Honduras,,
1519202,TGU,"Tegucigalpa, Honduras",Honduras,,
1519401,TGZ,"Tuxtla Gutierrez, Mexico",Mexico,,
1519501,THA,"Tullahoma, TN",United States,Tennessee,
1519502,THA,"Tullahoma, TN",United States,Tennessee,
1519503,THA,"Tullahoma, TN",United States,Tennessee,
1519504,THA,"Tullahoma, TN",United States,Tennessee,
1519505,THA,"Tullahoma, TN",United States,Tennessee,
1519601,THE,"Teresina, Brazil",Brazil,,
1519602,THE,"Teresina, Brazil",Brazil,,
1519701,THF,"Berlin, Berlin",Berlin,,
1519702,THF,"Berlin, Germany",Germany,,
1519801,THG,"Biloela, Australia",Australia,,
1519802,THG,"Biloela, Australia",Australia,,
1519901,THN,"Trollhattan, Sweden",Sweden,,
1519902,THN,"Trollhattan, Sweden",Sweden,,
1520001,THP,"Thermopolis, WY",United States,Wyoming,
1520002,THP,"Thermopolis, WY",United States,Wyoming,
1520101,THR,"Tehran, Iran",Iran,,
1520102,THR,"Tehran, Iran",Iran,,
1520103,THR,"Tehran, Iran",Iran,,
1520104,THR,"Tehran, Iran",Iran,,
1520105,THR,"Tehran, Iran",Iran,,
1520201,THU,"Thule, Greenland",Greenland,,
1520202,THU,"Thule, Greenland",Greenland,,
1520301,THV,"York, PA",United States,Pennsylvania,
1520302,THV,"York, PA",United States,Pennsylvania,
1520401,THZ,"Tahoua, Niger",Niger,,
1520402,THZ,"Tahoua, Niger",Niger,,
1520501,TIA,"Tirana, Albania",Albania,,
1520502,TIA,"Tirana, Albania",Albania,,
1520601,TIC,"Turiacu, Brazil",Brazil,,
1520701,TIE,"Tippi, Ethiopia",Ethiopia,,
1520801,TIF,"Taif, Saudi Arabia",Saudi Arabia,,
1520802,TIF,"Taif, Saudi Arabia",Saudi Arabia,,
1520803,TIF,"Taif, Saudi Arabia",Saudi Arabia,,
1520804,TIF,"Taif, Saudi Arabia",Saudi Arabia,,
1520805,TIF,"Taif, Saudi Arabia",Saudi Arabia,,
1520806,TIF,"Taif, Saudi Arabia",Saudi Arabia,,
1520901,TIH,"Tikehau, French Polynesia",French Polynesia,,
1520902,TIH,"Tikehau, French Polynesia",French Polynesia,,
1520903,TIH,"Tikehau, French Polynesia",French Polynesia,,
1521001,TIJ,"Tijuana, Mexico",Mexico,,
1521002,TIJ,"Tijuana, Mexico",Mexico,,
1521101,TIK,"Oklahoma City, OK",United States,Oklahoma,
1521102,TIK,"Oklahoma City, OK",United States,Oklahoma,
1521201,TIM,"Tembagapura, Indonesia",Indonesia,,
1521202,TIM,"Tembagapura, Indonesia",Indonesia,,
1521203,TIM,"Tembagapura, Indonesia",Indonesia,,
1521204,TIM,"Tembagapura, Indonesia",Indonesia,,
1521205,TIM,"Tembagapura, Indonesia",Indonesia,,
1521206,TIM,"Tembagapura, Indonesia",Indonesia,,
1521301,TIN,"Tindouf, Algeria",Algeria,,
1521401,TIP,"Tripoli, Libya",Libya,,
1521402,TIP,"Tripoli, Libya",Libya,,
1521403,TIP,"Tripoli, Libya",Libya,,
1521501,TIQ,"Tinian, Northern Mariana Islands",Northern Mariana Islands,,
1521502,TIQ,"Tinian, TT",United States,U.S. Pacific Trust Territories and Possessions,
1521503,TIQ,"Tinian, TT",United States,U.S. Pacific Trust Territories and Possessions,
1521601,TIR,"Tirupati, India",India,,
1521602,TIR,"Tirupati, India",India,,
1521701,TIS,"Thursday Island, Australia",Australia,,
1521702,TIS,"Thursday Island, Australia",Australia,,
1521801,TIU,"Timaru, New Zealand",New Zealand,,
1521802,TIU,"Timaru, New Zealand",New Zealand,,
1521901,TIV,"Tivat, Yugoslavia",Yugoslavia,,
1521902,TIV,"Tivat, FRY",FRY,,
1521903,TIV,"Tivat, Serbia and Montenegro",Serbia and Montenegro,,
1521904,TIV,"Tivat, Montenegro",Montenegro,,
1521905,TIV,"Tivat, Montenegro",Montenegro,,
1522001,TIW,"Tacoma, WA",United States,Washington,
1522002,TIW,"Tacoma, WA",United States,Washington,
1522101,TIX,"Titusville, FL",United States,Florida,
1522102,TIX,"Titusville, FL",United States,Florida,
1522201,TIY,"Tidjikja, Mauritania",Mauritania,,
1522202,TIY,"Tidjikja, Mauritania",Mauritania,,
1522203,TIY,"Tidjikja, Mauritania",Mauritania,,
1522204,TIY,"Tidjikja, Mauritania",Mauritania,,
1522205,TIY,"Tidjikja, Mauritania",Mauritania,,
1522301,TIZ,"Tari, Papua New Guinea",Papua New Guinea,,
1522302,TIZ,"Tari, Papua New Guinea",Papua New Guinea,,
1522303,TIZ,"Tari, Papua New Guinea",Papua New Guinea,,
1522304,TIZ,"Tari, Papua New Guinea",Papua New Guinea,,
1522305,TIZ,"Tari, Papua New Guinea",Papua New Guinea,,
1522401,TJA,"Tarija, Bolivia",Bolivia,,
1522402,TJA,"Tarija, Bolivia",Bolivia,,
1522403,TJA,"Tarija, Bolivia",Bolivia,,
1522404,TJA,"Tarija, Bolivia",Bolivia,,
1522405,TJA,"Tarija, Bolivia",Bolivia,,
1522501,TJI,"Trujillo, Honduras",Honduras,,
1522502,TJI,"Trujillo, Honduras",Honduras,,
1522601,TJM,"Tyumen, U.S.S.R.",U.S.S.R.,,
1522602,TJM,"Tyumen, Russia",Russia,,
1522701,TK1,"Ankara, Turkey",Turkey,,
1522702,TK1,"Ankara, Turkey",Turkey,,
1522703,TK1,"Ankara, Turkey",Turkey,,
1522704,TK1,"Ankara, Turkey",Turkey,,
1522801,TKA,"Talkeetna, AK",United States,Alaska,
1522802,TKA,"Talkeetna, AK",United States,Alaska,
1522803,TKA,"Talkeetna, AK",United States,Alaska,
1522804,TKA,"Talkeetna, AK",United States,Alaska,
1522805,TKA,"Talkeetna, AK",United States,Alaska,
1522901,TKC,"Tiko, Cameroon",Cameroon,,
1522902,TKC,"Tiko, Cameroon",Cameroon,,
1522903,TKC,"Tiko, Cameroon",Cameroon,,
1523001,TKD,"Takoradi, Ghana",Ghana,,
1523002,TKD,"Takoradi, Ghana",Ghana,,
1523101,TKE,"Tenakee, AK",United States,Alaska,
1523201,TKF,"Truckee, CA",United States,California,
1523301,TKG,"Telukbetung, Indonesia",Indonesia,,
1523302,TKG,"Bandar Lampung, Indonesia",Indonesia,,
1523401,TKH,"Takhli, Thailand",Thailand,,
1523402,TKH,"Takhli, Thailand",Thailand,,
1523501,TKI,"Tokeen, AK",United States,Alaska,
1523601,TKJ,"Tok, AK",United States,Alaska,
1523602,TKJ,"Tok, AK",United States,Alaska,
1523701,TKK,"Truk, Palau District (TTPI)",Palau District (TTPI),,
1523702,TKK,"Truk, Federated States of Micronesia",Federated States of Micronesia,,
1523703,TKK,"Chuuk, Federated States of Micronesia",Federated States of Micronesia,,
1523704,TKK,"Chuuk, Federated States of Micronesia",Federated States of Micronesia,,
1523801,TKL,"Taku Lodge, AK",United States,Alaska,
1523901,TKM,"Tikal, Guatemala",Guatemala,,
1524001,TKQ,"Kigoma, Tanzania",Tanzania,,
1524002,TKQ,"Kigoma, Tanzania",Tanzania,,
1524101,TKR,"Thakurgaon, Bangladesh",Bangladesh,,
1524102,TKR,"Thakurgaon, Bangladesh",Bangladesh,,
1524103,TKR,"Thakurgaon, Bangladesh",Bangladesh,,
1524104,TKR,"Thakurgaon, Bangladesh",Bangladesh,,
1524105,TKR,"Thakurgaon, Bangladesh",Bangladesh,,
1524201,TKS,"Tokushima, Japan",Japan,,
1524202,TKS,"Tokushima, Japan",Japan,,
1524301,TKT,"Tak, Thailand",Thailand,,
1524302,TKT,"Tak, Thailand",Thailand,,
