GeoFips,GeoName,LineCode,Description,2011,2012,2013
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",13,      Durable goods manufacturing,7971373,8477294,8951162
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",25,      Nondurable goods manufacturing,8313624,8529689,9538973
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",34,    Wholesale trade,8562903,9141162,9564070
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",35,    Retail trade,5938543,6332782,6816646
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",36,    Transportation and warehousing,(D),(D),4375879
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",45,    Information,5035425,4919726,5185949
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",50,"    Finance, insurance, real estate, rental, and leasing",29778320,35238747,32884738
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",51,      Finance and insurance,18605567,23268572,20310474
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",56,      Real estate and rental and leasing,11172753,11970175,12574264
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",59,    Professional and business services,(D),17621819,17907309
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",60,"      Professional, scientific, and technical services",(D),(D),(D)
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",64,      Management of companies and enterprises,(D),(D),(D)
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",65,      Administrative and support and waste management and remediation services,(D),(D),4805126
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",68,"    Educational services, health care, and social assistance",6762491,7043247,7110017
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",69,      Educational services,(D),(D),860570
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",70,      Health care and social assistance,(D),(D),6249447
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",75,"    Arts, entertainment, recreation, accommodation, and food services",(D),(D),(D)
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",76,"      Arts, entertainment, and recreation",(D),(D),(D)
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",79,      Accommodation and food services,(D),(D),(D)
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",82,    Other services (except government and government enterprises),2040917,2299471,2439381
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",83,Government and government enterprises,11028363,11189807,11725763
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",,Addenda:,,,
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",87,Natural resources and mining,488012,631238,691253
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",88,Trade,14501446,15473944,16380717
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",89,Transportation and utilities,(D),(D),(D)
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",90,Manufacturing and information,21320423,21926709,23676083
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",91,Private goods-producing industries 2/,20180159,21656104,23895653
16740,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",92,Private services-providing industries 3/,85897723,94515188,94253071
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",1,All industry total,532961747,561588192,577664306
16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",2,  Private industries,480773682,508763428,522687445
